                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.62306,                 0.3389,                0.80136,                0.96566,                0.94843,                0.98809,                0.85291,                0.56226,                0.33287,                0.79456,              0.0008516,              0.0008516,              0.0008516
                     61,                0.61739,                0.33772,                0.79712,                0.95639,                 0.9602,                0.98781,                0.85497,                0.54504,                0.32478,                0.79271,              0.0008318,              0.0008318,              0.0008318
                     62,                 0.6168,                0.33794,                0.80051,                0.95063,                0.96213,                0.98745,                0.85765,                  0.547,                0.32259,                0.79414,               0.000812,               0.000812,               0.000812
                     63,                0.61724,                0.33924,                0.79867,                0.96581,                0.95276,                0.98841,                0.85323,                0.56276,                0.31823,                0.79574,              0.0007922,              0.0007922,              0.0007922
                     64,                0.62013,                0.33797,                0.79986,                0.96348,                0.95233,                0.98815,                0.85193,                0.56805,                0.32774,                0.79601,              0.0007724,              0.0007724,              0.0007724
                     65,                0.61503,                0.33467,                0.79708,                0.96362,                 0.9568,                0.98806,                  0.852,                0.55753,                0.31964,                0.79341,              0.0007526,              0.0007526,              0.0007526
                     66,                0.60853,                0.33249,                0.79755,                0.96166,                0.96213,                 0.9878,                0.85429,                0.55082,                0.32659,                0.79369,              0.0007328,              0.0007328,              0.0007328
                     67,                0.61244,                0.33046,                0.80062,                 0.9647,                0.95562,                0.98741,                0.85259,                 0.5629,                0.32328,                0.79356,               0.000713,               0.000713,               0.000713
                     68,                0.59972,                0.32689,                0.79638,                0.96603,                0.95908,                 0.9887,                 0.8608,                0.55348,                0.32048,                 0.7929,              0.0006932,              0.0006932,              0.0006932
                     69,                0.60043,                0.32522,                0.79848,                  0.971,                 0.9511,                0.98782,                0.86073,                0.54983,                0.31563,                0.79271,              0.0006734,              0.0006734,              0.0006734
                     70,                0.59976,                0.32547,                0.79786,                0.95885,                 0.9568,                0.98779,                0.85609,                0.55544,                0.32094,                0.79289,              0.0006536,              0.0006536,              0.0006536
                     71,                0.59539,                 0.3258,                0.79461,                0.95561,                0.95533,                0.98714,                 0.8572,                0.54423,                0.32927,                0.79299,              0.0006338,              0.0006338,              0.0006338
                     72,                0.59745,                0.32677,                 0.7978,                0.95594,                0.96277,                0.98786,                0.85853,                0.54098,                0.30969,                0.79256,               0.000614,               0.000614,               0.000614
                     73,                0.58465,                0.31621,                0.79648,                0.96291,                0.94556,                0.98709,                0.85571,                0.56186,                0.32284,                0.79399,              0.0005942,              0.0005942,              0.0005942
                     74,                0.59191,                0.32436,                0.79575,                0.96022,                0.95976,                0.98748,                0.86435,                0.52841,                0.31244,                0.79084,              0.0005744,              0.0005744,              0.0005744
                     75,                0.59884,                 0.3278,                0.79937,                0.96366,                0.95718,                0.98794,                0.86138,                0.53248,                0.30774,                0.79103,              0.0005546,              0.0005546,              0.0005546
                     76,                0.58554,                0.31614,                0.79427,                0.96193,                0.95976,                0.98764,                0.86543,                  0.522,                 0.3062,                0.79163,              0.0005348,              0.0005348,              0.0005348
                     77,                0.58444,                0.31575,                0.79597,                0.96307,                0.95676,                0.98835,                0.86733,                0.52837,                0.30744,                0.79212,               0.000515,               0.000515,               0.000515
                     78,                0.58087,                0.31411,                0.79377,                 0.9588,                0.96331,                0.98892,                0.86408,                0.52233,                0.29928,                0.79124,              0.0004952,              0.0004952,              0.0004952
                     79,                  0.576,                0.31269,                0.79586,                0.96215,                0.96627,                0.98813,                0.86336,                 0.5385,                0.30815,                0.79308,              0.0004754,              0.0004754,              0.0004754
                     80,                0.58039,                0.31457,                0.79728,                0.96498,                0.96095,                0.98791,                0.86177,                0.52875,                0.30357,                0.79066,              0.0004556,              0.0004556,              0.0004556
                     81,                0.57892,                0.31262,                0.79686,                 0.9637,                0.95832,                0.98808,                0.86014,                0.53995,                0.30795,                0.79064,              0.0004358,              0.0004358,              0.0004358
                     82,                0.57311,                0.31025,                 0.7965,                0.96245,                0.96213,                0.98747,                0.85911,                0.53679,                0.30613,                0.79001,               0.000416,               0.000416,               0.000416
                     83,                0.57142,                0.30872,                0.79389,                0.95784,                0.96798,                0.98835,                0.86617,                0.52536,                0.30028,                 0.7897,              0.0003962,              0.0003962,              0.0003962
                     84,                0.56949,                0.30964,                0.79576,                0.96583,                 0.9497,                0.98799,                0.86657,                0.52328,                0.30379,                0.78988,              0.0003764,              0.0003764,              0.0003764
                     85,                0.57462,                0.31226,                0.79602,                0.95332,                0.96667,                0.98794,                0.86742,                0.52092,                0.30363,                0.78953,              0.0003566,              0.0003566,              0.0003566
                     86,                0.57242,                0.30819,                0.79432,                0.96205,                0.95999,                0.98796,                0.86814,                0.51561,                0.30039,                0.78861,              0.0003368,              0.0003368,              0.0003368
                     87,                0.56252,                0.30641,                0.79438,                0.96201,                0.95897,                0.98821,                 0.8667,                0.52475,                0.29585,                0.78968,               0.000317,               0.000317,               0.000317
                     88,                0.55408,                0.30171,                0.79247,                0.97441,                0.94618,                0.98761,                0.86831,                0.52096,                0.30169,                0.79065,              0.0002972,              0.0002972,              0.0002972
                     89,                0.56585,                0.30211,                0.79414,                0.95281,                0.96923,                0.98859,                0.86698,                0.52259,                 0.3002,                0.78968,              0.0002774,              0.0002774,              0.0002774
                     90,                0.55937,                0.30192,                0.79255,                0.95929,                0.96196,                0.98817,                0.86962,                0.51011,                0.29569,                 0.7893,              0.0002576,              0.0002576,              0.0002576
                     91,                0.53606,                0.29169,                0.79367,                0.96097,                0.96148,                0.98766,                0.85942,                0.53626,                0.31237,                0.79178,              0.0002378,              0.0002378,              0.0002378
                     92,                0.52434,                0.28393,                0.78884,                0.95774,                0.96556,                0.98888,                0.86494,                0.52256,                0.29851,                0.78983,               0.000218,               0.000218,               0.000218
                     93,                0.51813,                0.27981,                0.78768,                0.95593,                0.96686,                0.98834,                0.86448,                0.52471,                0.30169,                0.79062,              0.0001982,              0.0001982,              0.0001982
                     94,                0.52192,                0.28022,                0.78876,                0.96479,                0.95655,                0.98814,                0.86734,                 0.5188,                0.29669,                 0.7903,              0.0001784,              0.0001784,              0.0001784
                     95,                0.51247,                0.27825,                0.78728,                0.96626,                0.95917,                0.98896,                0.86465,                0.51908,                0.29619,                0.78978,              0.0001586,              0.0001586,              0.0001586
                     96,                0.51285,                0.27781,                0.78459,                0.96859,                 0.9574,                0.98907,                 0.8685,                0.52274,                0.29527,                0.79064,              0.0001388,              0.0001388,              0.0001388
                     97,                0.50865,                0.27558,                0.78704,                0.96017,                0.96213,                0.98822,                0.86738,                 0.5183,                0.29482,                 0.7898,               0.000119,               0.000119,               0.000119
                     98,                0.50184,                0.27347,                0.78729,                0.97096,                0.95325,                0.98941,                0.87015,                0.51274,                0.29229,                0.78919,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.50094,                0.26952,                0.78561,                0.96973,                0.95385,                0.98888,                0.87106,                0.51315,                0.29157,                0.78974,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.49735,                 0.2698,                0.78793,                 0.9705,                0.95392,                0.98886,                0.87096,                0.51382,                0.29418,                0.78926,               5.96e-05,               5.96e-05,               5.96e-05
